,Name,Rank,Link,Geek Rating,Average ratings,Voters,min_layers,max_layers,min_duration,max_duration,weight
200,Descent: Journeys in the Dark (Second Edition),201,https://boardgamegeek.com/boardgame/104162/descent-journeys-in-the-dark-second-edition,7.341,7.61,25460.0,1,5,120,na,3.21
201,The Red Cathedral,202,https://boardgamegeek.com/boardgame/227224/the-red-cathedral,7.338,7.7,12862.0,1,4,80,na,2.82
202,Sekigahara: The Unification of Japan,203,https://boardgamegeek.com/boardgame/25021/sekigahara-the-unification-of-japan,7.337,8.01,6086.0,2,na,180,na,2.8
203,Cosmic Encounter,204,https://boardgamegeek.com/boardgame/39463/cosmic-encounter,7.337,7.52,33320.0,3,5,60,120,2.58
204,Meadow,205,https://boardgamegeek.com/boardgame/314491/meadow,7.336,7.74,11103.0,1,4,60,90,2.25
205,Wyrmspan,206,https://boardgamegeek.com/boardgame/410201/wyrmspan,7.335,8.07,6669.0,1,5,90,na,2.8
206,Castles of Mad King Ludwig,207,https://boardgamegeek.com/boardgame/155426/castles-of-mad-king-ludwig,7.334,7.52,26129.0,1,4,90,na,2.65
207,Sagrada,208,https://boardgamegeek.com/boardgame/199561/sagrada,7.332,7.47,42478.0,1,4,30,45,1.92
208,Horrified,209,https://boardgamegeek.com/boardgame/282524/horrified,7.329,7.64,17168.0,1,5,60,na,2.02
209,Azul: Summer Pavilion,210,https://boardgamegeek.com/boardgame/287954/azul-summer-pavilion,7.327,7.61,16597.0,2,4,30,45,2.06
210,Railways of the World,211,https://boardgamegeek.com/boardgame/17133/railways-of-the-world,7.325,7.67,12307.0,2,6,120,na,3.01
211,The Resistance: Avalon,212,https://boardgamegeek.com/boardgame/128882/the-resistance-avalon,7.324,7.51,34108.0,5,10,30,na,1.74
212,Great Western Trail: Argentina,213,https://boardgamegeek.com/boardgame/364011/great-western-trail-argentina,7.323,8.33,4039.0,1,4,75,150,3.91
213,Space Base,214,https://boardgamegeek.com/boardgame/242302/space-base,7.322,7.55,19930.0,2,5,60,na,2.13
214,A Game of Thrones: The Board Game (Second Edition),215,https://boardgamegeek.com/boardgame/103343/a-game-of-thrones-the-board-game-second-edition,7.316,7.54,35019.0,3,6,120,240,3.73
215,Ora et Labora,216,https://boardgamegeek.com/boardgame/70149/ora-et-labora,7.316,7.69,11083.0,1,4,60,180,3.89
216,Ticket to Ride: Nordic Countries,217,https://boardgamegeek.com/boardgame/31627/ticket-to-ride-nordic-countries,7.316,7.63,14291.0,2,3,30,60,1.97
217,Modern Art,218,https://boardgamegeek.com/boardgame/118/modern-art,7.315,7.51,22990.0,3,5,45,na,2.29
218,Slay the Spire: The Board Game,219,https://boardgamegeek.com/boardgame/338960/slay-the-spire-the-board-game,7.313,8.79,3255.0,1,4,30,150,2.93
219,Go,220,https://boardgamegeek.com/boardgame/188/go,7.312,7.65,17434.0,2,na,30,180,3.92
220,Paleo,221,https://boardgamegeek.com/boardgame/300531/paleo,7.312,7.69,13026.0,2,4,45,60,2.65
221,Commands & Colors: Ancients,222,https://boardgamegeek.com/boardgame/14105/commands-and-colors-ancients,7.306,7.78,8863.0,2,na,60,na,2.69
222,Captain Sonar,223,https://boardgamegeek.com/boardgame/171131/captain-sonar,7.305,7.52,21833.0,2,8,45,60,2.2
223,Suburbia,224,https://boardgamegeek.com/boardgame/123260/suburbia,7.302,7.47,25467.0,1,4,60,90,2.76
224,Village,225,https://boardgamegeek.com/boardgame/104006/village,7.3,7.49,23505.0,2,4,60,90,3.06
225,7 Wonders (Second Edition),226,https://boardgamegeek.com/boardgame/316377/7-wonders-second-edition,7.299,7.85,8487.0,3,7,30,na,2.31
226,Dead of Winter: A Crossroads Game,227,https://boardgamegeek.com/boardgame/150376/dead-of-winter-a-crossroads-game,7.298,7.46,46860.0,2,5,60,120,3.01
227,Ankh: Gods of Egypt,228,https://boardgamegeek.com/boardgame/285967/ankh-gods-of-egypt,7.297,7.79,9775.0,2,5,90,na,3.12
228,Splendor,229,https://boardgamegeek.com/boardgame/148228/splendor,7.296,7.42,82019.0,2,4,30,na,1.78
229,Carcassonne,230,https://boardgamegeek.com/boardgame/822/carcassonne,7.296,7.41,129041.0,2,5,30,45,1.89
230,Nidavellir,231,https://boardgamegeek.com/boardgame/293014/nidavellir,7.291,7.59,14046.0,2,5,45,na,2.11
231,Tichu,232,https://boardgamegeek.com/boardgame/215/tichu,7.288,7.58,15775.0,4,na,60,na,2.34
232,Clash of Cultures: Monumental Edition,233,https://boardgamegeek.com/boardgame/299659/clash-of-cultures-monumental-edition,7.286,8.33,4067.0,2,4,180,240,3.7
233,Aeon's End: Legacy,234,https://boardgamegeek.com/boardgame/241451/aeons-end-legacy,7.284,8.06,5254.0,1,4,45,90,2.84
234,Star Realms: Colony Wars,235,https://boardgamegeek.com/boardgame/182631/star-realms-colony-wars,7.284,7.8,8300.0,2,na,20,na,1.9
235,Star Wars: The Deckbuilding Game,236,https://boardgamegeek.com/boardgame/374173/star-wars-the-deckbuilding-game,7.281,7.89,7336.0,2,na,30,na,2.02
236,Paths of Glory,237,https://boardgamegeek.com/boardgame/91/paths-of-glory,7.276,8.07,5307.0,2,na,480,na,3.85
237,Under Falling Skies,238,https://boardgamegeek.com/boardgame/306735/under-falling-skies,7.276,7.65,11812.0,1,na,20,40,2.4
238,Coimbra,239,https://boardgamegeek.com/boardgame/245638/coimbra,7.275,7.61,12118.0,2,4,60,90,3.26
239,Return to Dark Tower,240,https://boardgamegeek.com/boardgame/256680/return-to-dark-tower,7.275,8.27,4602.0,1,4,100,120,2.67
240,Nations,241,https://boardgamegeek.com/boardgame/126042/nations,7.274,7.6,12352.0,1,5,40,200,3.54
241,YINSH,242,https://boardgamegeek.com/boardgame/7854/yinsh,7.274,7.71,9181.0,2,na,30,60,2.64
242,My City,243,https://boardgamegeek.com/boardgame/295486/my-city,7.273,7.63,11380.0,2,4,30,na,1.98
243,Near and Far,244,https://boardgamegeek.com/boardgame/195421/near-and-far,7.273,7.67,10549.0,2,4,90,120,2.89
244,Ticket to Ride,245,https://boardgamegeek.com/boardgame/9209/ticket-to-ride,7.272,7.39,91260.0,2,5,30,60,1.82
245,The Taverns of Tiefenthal,246,https://boardgamegeek.com/boardgame/269207/the-taverns-of-tiefenthal,7.271,7.58,14837.0,2,4,60,na,2.68
246,Combat Commander: Europe,247,https://boardgamegeek.com/boardgame/21050/combat-commander-europe,7.271,7.95,5955.0,2,na,60,180,3.26
247,Calico,248,https://boardgamegeek.com/boardgame/283155/calico,7.27,7.52,19711.0,1,4,30,45,2.19
248,Cyclades,249,https://boardgamegeek.com/boardgame/54998/cyclades,7.267,7.51,21795.0,2,5,60,90,2.81
249,Dinosaur Island,250,https://boardgamegeek.com/boardgame/221194/dinosaur-island,7.265,7.56,16263.0,1,4,90,120,3.04
250,Secret Hitler,251,https://boardgamegeek.com/boardgame/188834/secret-hitler,7.26,7.5,29893.0,5,10,45,na,1.74
251,KLASK,252,https://boardgamegeek.com/boardgame/165722/klask,7.259,7.64,10681.0,2,na,10,na,1.05
252,La Granja,253,https://boardgamegeek.com/boardgame/146886/la-granja,7.258,7.61,11271.0,1,4,90,120,3.57
253,Codenames: Duet,254,https://boardgamegeek.com/boardgame/224037/codenames-duet,7.256,7.43,23725.0,2,na,15,30,1.36
254,Arcs,255,https://boardgamegeek.com/boardgame/359871/arcs,7.252,8.29,4370.0,2,4,60,120,3.4
255,Legendary: A Marvel Deck Building Game,256,https://boardgamegeek.com/boardgame/129437/legendary-a-marvel-deck-building-game,7.249,7.53,22743.0,1,5,30,60,2.43
256,Century: Golem Edition,257,https://boardgamegeek.com/boardgame/232832/century-golem-edition,7.248,7.59,12648.0,2,5,30,45,1.7
257,Fantasy Realms,258,https://boardgamegeek.com/boardgame/223040/fantasy-realms,7.248,7.52,15837.0,2,6,20,na,1.82
258,Camel Up (Second Edition),259,https://boardgamegeek.com/boardgame/260605/camel-up-second-edition,7.244,7.57,13610.0,3,8,30,45,1.51
259,Hanamikoji,260,https://boardgamegeek.com/boardgame/158600/hanamikoji,7.243,7.47,19021.0,2,na,15,na,1.68
260,"Unmatched: Battle of Legends, Volume One",261,https://boardgamegeek.com/boardgame/274637/unmatched-battle-of-legends-volume-one,7.241,7.73,9411.0,2,4,20,40,1.92
261,Deception: Murder in Hong Kong,262,https://boardgamegeek.com/boardgame/156129/deception-murder-in-hong-kong,7.241,7.44,23089.0,4,12,20,na,1.58
262,John Company: Second Edition,263,https://boardgamegeek.com/boardgame/332686/john-company-second-edition,7.24,8.3,3833.0,1,6,90,240,4.45
263,Zombicide: Black Plague,264,https://boardgamegeek.com/boardgame/176189/zombicide-black-plague,7.238,7.61,16420.0,1,6,60,180,2.48
264,MicroMacro: Crime City,265,https://boardgamegeek.com/boardgame/318977/micromacro-crime-city,7.237,7.49,16520.0,1,4,15,45,1.1
265,Sushi Go Party!,266,https://boardgamegeek.com/boardgame/192291/sushi-go-party,7.236,7.39,35925.0,2,8,20,na,1.31
266,Flamme Rouge,267,https://boardgamegeek.com/boardgame/199478/flamme-rouge,7.233,7.49,18352.0,2,4,30,45,1.7
267,Roll Player,268,https://boardgamegeek.com/boardgame/169426/roll-player,7.232,7.44,20863.0,1,4,60,90,2.43
268,Isle of Skye: From Chieftain to King,269,https://boardgamegeek.com/boardgame/176494/isle-of-skye-from-chieftain-to-king,7.231,7.4,25781.0,2,5,30,50,2.25
269,The Princes of Florence,270,https://boardgamegeek.com/boardgame/555/the-princes-of-florence,7.23,7.5,15641.0,1,5,75,100,3.24
270,Hallertau,271,https://boardgamegeek.com/boardgame/300322/hallertau,7.229,7.87,6068.0,1,4,50,140,3.3
271,Arkham Horror: The Card Game (Revised Edition),272,https://boardgamegeek.com/boardgame/359609/arkham-horror-the-card-game-revised-edition,7.229,8.65,2994.0,1,4,45,180,3.76
272,Glory to Rome,273,https://boardgamegeek.com/boardgame/19857/glory-to-rome,7.225,7.49,14389.0,2,5,60,na,2.93
273,Vindication,274,https://boardgamegeek.com/boardgame/224783/vindication,7.225,7.79,7520.0,2,5,45,150,3.09
274,Samurai,275,https://boardgamegeek.com/boardgame/3/samurai,7.225,7.47,16457.0,2,4,30,60,2.44
275,Kanban: Driver's Edition,276,https://boardgamegeek.com/boardgame/109276/kanban-drivers-edition,7.224,7.79,6904.0,2,4,90,120,4.36
276,Santorini,277,https://boardgamegeek.com/boardgame/194655/santorini,7.22,7.36,39334.0,2,4,20,na,1.73
277,Pulsar 2849,278,https://boardgamegeek.com/boardgame/228341/pulsar-2849,7.219,7.66,9031.0,2,4,60,90,3.34
278,Goa: A New Expedition,279,https://boardgamegeek.com/boardgame/9216/goa-a-new-expedition,7.218,7.56,11555.0,2,4,90,na,3.37
279,Hero Realms,280,https://boardgamegeek.com/boardgame/198994/hero-realms,7.218,7.51,18435.0,2,4,20,na,1.85
280,Western Legends,281,https://boardgamegeek.com/boardgame/232405/western-legends,7.218,7.61,11540.0,2,6,60,90,2.86
281,Tapestry,282,https://boardgamegeek.com/boardgame/286096/tapestry,7.217,7.45,20817.0,1,5,90,120,2.95
282,1830: Railways & Robber Barons,283,https://boardgamegeek.com/boardgame/421/1830-railways-and-robber-barons,7.216,7.87,5702.0,2,7,180,360,4.17
283,Detective: A Modern Crime Board Game,284,https://boardgamegeek.com/boardgame/223321/detective-a-modern-crime-board-game,7.21,7.65,10752.0,1,5,120,180,2.75
284,Shogun,285,https://boardgamegeek.com/boardgame/20551/shogun,7.209,7.51,14170.0,3,5,90,120,3.37
285,Galaxy Trucker,286,https://boardgamegeek.com/boardgame/31481/galaxy-trucker,7.208,7.34,34490.0,2,4,60,na,2.33
286,Endless Winter: Paleoamericans,287,https://boardgamegeek.com/boardgame/305096/endless-winter-paleoamericans,7.205,7.72,8447.0,1,4,60,120,3.32
287,Anno 1800: The Board Game,288,https://boardgamegeek.com/boardgame/311193/anno-1800-the-board-game,7.204,7.72,7558.0,1,4,120,na,3.12
288,Viticulture,289,https://boardgamegeek.com/boardgame/128621/viticulture,7.203,7.49,14210.0,2,6,90,na,2.94
289,1960: The Making of the President,290,https://boardgamegeek.com/boardgame/27708/1960-the-making-of-the-president,7.202,7.62,9346.0,2,na,90,120,3.2
290,Chronicles of Crime,291,https://boardgamegeek.com/boardgame/239188/chronicles-of-crime,7.201,7.58,23026.0,1,4,60,90,2.06
291,Lewis & Clark: The Expedition,292,https://boardgamegeek.com/boardgame/140620/lewis-and-clark-the-expedition,7.196,7.45,15784.0,1,5,120,na,3.32
292,Bitoku,293,https://boardgamegeek.com/boardgame/323612/bitoku,7.192,7.83,6362.0,1,4,120,na,3.76
293,Mind MGMT: The Psychic Espionage “Game.”,294,https://boardgamegeek.com/boardgame/284653/mind-mgmt-the-psychic-espionage-game,7.191,7.91,5476.0,1,5,60,na,2.92
294,Monikers,295,https://boardgamegeek.com/boardgame/156546/monikers,7.191,7.78,6451.0,4,16,30,60,1.09
295,Steam,296,https://boardgamegeek.com/boardgame/27833/steam,7.19,7.55,10279.0,3,5,90,na,3.46
296,Oath,297,https://boardgamegeek.com/boardgame/291572/oath,7.189,7.79,7756.0,1,6,45,150,4.12
297,Kingdomino,298,https://boardgamegeek.com/boardgame/204583/kingdomino,7.188,7.3,48582.0,2,4,15,25,1.23
298,Bora Bora,299,https://boardgamegeek.com/boardgame/127060/bora-bora,7.188,7.56,10327.0,2,4,60,120,3.72
299,Marvel United,300,https://boardgamegeek.com/boardgame/298047/marvel-united,7.187,7.58,11187.0,1,4,40,na,1.82
300,Battle Line,301,https://boardgamegeek.com/boardgame/760/battle-line,7.185,7.42,17663.0,2,na,30,na,1.89
301,T.I.M.E Stories,302,https://boardgamegeek.com/boardgame/146508/time-stories,7.182,7.38,27913.0,2,4,90,na,2.59
302,Forgotten Waters,303,https://boardgamegeek.com/boardgame/302723/forgotten-waters,7.181,7.81,6259.0,3,7,120,240,2.09
303,Kemet: Blood and Sand,304,https://boardgamegeek.com/boardgame/297562/kemet-blood-and-sand,7.18,7.97,4974.0,2,5,90,180,3.2
304,Star Realms: Frontiers,305,https://boardgamegeek.com/boardgame/230253/star-realms-frontiers,7.179,7.94,5379.0,1,4,20,45,1.88
305,Forest Shuffle,306,https://boardgamegeek.com/boardgame/391163/forest-shuffle,7.178,7.65,8634.0,2,5,40,60,2.19
306,Rococo,307,https://boardgamegeek.com/boardgame/144344/rococo,7.178,7.58,9124.0,2,5,60,120,3.08
307,Hive,308,https://boardgamegeek.com/boardgame/2655/hive,7.177,7.32,37775.0,2,na,20,na,2.32
308,Tiletum,309,https://boardgamegeek.com/boardgame/351913/tiletum,7.174,7.91,5289.0,1,4,60,100,3.41
309,Dice Throne: Season Two – Battle Chest,310,https://boardgamegeek.com/boardgame/244271/dice-throne-season-two-battle-chest,7.174,8.06,4720.0,2,6,20,40,2.14
310,Cryptid,311,https://boardgamegeek.com/boardgame/246784/cryptid,7.174,7.44,15045.0,3,5,30,50,2.26
311,Cthulhu Wars,312,https://boardgamegeek.com/boardgame/139976/cthulhu-wars,7.172,7.86,6292.0,2,4,90,120,3.15
312,Ethnos,313,https://boardgamegeek.com/boardgame/206718/ethnos,7.171,7.46,13721.0,2,6,45,60,2.1
313,Dixit: Odyssey,314,https://boardgamegeek.com/boardgame/92828/dixit-odyssey,7.17,7.4,21421.0,3,12,30,na,1.17
314,Arcadia Quest,315,https://boardgamegeek.com/boardgame/155068/arcadia-quest,7.17,7.6,10521.0,2,4,60,na,2.53
315,Seasons,316,https://boardgamegeek.com/boardgame/108745/seasons,7.169,7.35,25342.0,2,4,60,na,2.78
316,Aeon's End: The New Age,317,https://boardgamegeek.com/boardgame/270633/aeons-end-the-new-age,7.164,8.52,2844.0,1,4,60,na,2.94
317,Skull King,318,https://boardgamegeek.com/boardgame/150145/skull-king,7.163,7.54,11039.0,2,8,30,na,1.72
318,Long Shot: The Dice Game,319,https://boardgamegeek.com/boardgame/295374/long-shot-the-dice-game,7.162,7.62,8226.0,1,8,25,na,1.93
319,So Clover!,320,https://boardgamegeek.com/boardgame/329839/so-clover,7.162,7.58,8631.0,3,6,30,na,1.11
320,The Manhattan Project: Energy Empire,321,https://boardgamegeek.com/boardgame/176734/the-manhattan-project-energy-empire,7.159,7.74,6239.0,1,5,60,120,3.04
321,Imperial,322,https://boardgamegeek.com/boardgame/24181/imperial,7.155,7.6,8838.0,2,6,120,180,3.56
322,Indonesia,323,https://boardgamegeek.com/boardgame/19777/indonesia,7.153,7.88,4762.0,2,5,180,240,3.97
323,Turing Machine,324,https://boardgamegeek.com/boardgame/356123/turing-machine,7.152,7.68,7420.0,1,4,20,na,2.49
324,Navegador,325,https://boardgamegeek.com/boardgame/66589/navegador,7.151,7.54,9334.0,2,5,60,90,3.08
325,Telestrations,326,https://boardgamegeek.com/boardgame/46213/telestrations,7.151,7.38,18689.0,4,8,30,na,1.07
326,Onitama,327,https://boardgamegeek.com/boardgame/160477/onitama,7.15,7.35,22779.0,2,na,15,20,1.65
327,Dungeon Petz,328,https://boardgamegeek.com/boardgame/97207/dungeon-petz,7.146,7.4,15055.0,2,4,90,na,3.63
328,Arkham Horror (Third Edition),329,https://boardgamegeek.com/boardgame/257499/arkham-horror-third-edition,7.146,7.69,9629.0,1,6,120,180,3.36
329,Power Grid Deluxe: Europe/North America,330,https://boardgamegeek.com/boardgame/155873/power-grid-deluxe-europenorth-america,7.141,7.95,4474.0,2,6,120,na,3.19
330,Lost Cities,331,https://boardgamegeek.com/boardgame/50/lost-cities,7.14,7.24,47297.0,2,na,30,na,1.48
331,Space Alert,332,https://boardgamegeek.com/boardgame/38453/space-alert,7.138,7.39,16167.0,1,5,30,na,2.97
332,Age of Empires III: The Age of Discovery,333,https://boardgamegeek.com/boardgame/22545/age-of-empires-iii-the-age-of-discovery,7.137,7.51,10338.0,2,5,90,120,3.12
333,Distilled,334,https://boardgamegeek.com/boardgame/295895/distilled,7.135,7.83,5625.0,1,5,30,150,3.0
334,Imperium: Classics,335,https://boardgamegeek.com/boardgame/318184/imperium-classics,7.135,7.7,7079.0,1,4,60,120,3.6
335,For Sale,336,https://boardgamegeek.com/boardgame/172/for-sale,7.134,7.26,31626.0,3,6,30,na,1.25
336,Foundations of Rome,337,https://boardgamegeek.com/boardgame/284189/foundations-of-rome,7.133,8.05,4121.0,2,4,60,90,1.97
337,The King's Dilemma,338,https://boardgamegeek.com/boardgame/245655/the-kings-dilemma,7.132,7.75,6194.0,3,5,45,60,2.25
338,Imperial Settlers,339,https://boardgamegeek.com/boardgame/154203/imperial-settlers,7.13,7.31,24569.0,1,4,45,90,2.77
339,Love Letter,340,https://boardgamegeek.com/boardgame/277085/love-letter,7.13,7.52,10907.0,2,6,20,na,1.12
340,Cat in the Box: Deluxe Edition,341,https://boardgamegeek.com/boardgame/345972/cat-in-the-box-deluxe-edition,7.13,7.54,8970.0,2,5,20,40,2.05
341,Glass Road,342,https://boardgamegeek.com/boardgame/143693/glass-road,7.128,7.43,11924.0,1,4,20,80,2.95
342,The Great Zimbabwe,343,https://boardgamegeek.com/boardgame/111341/the-great-zimbabwe,7.128,7.84,4926.0,2,5,90,150,3.69
343,The King Is Dead: Second Edition,344,https://boardgamegeek.com/boardgame/319966/the-king-is-dead-second-edition,7.128,7.64,7239.0,2,4,30,45,2.17
344,Nemo's War (Second Edition),345,https://boardgamegeek.com/boardgame/187617/nemos-war-second-edition,7.127,7.83,5413.0,1,4,60,120,3.28
345,Survive: Escape from Atlantis!,346,https://boardgamegeek.com/boardgame/2653/survive-escape-from-atlantis,7.127,7.32,26407.0,2,4,45,60,1.69
346,Fury of Dracula (Third/Fourth Edition),347,https://boardgamegeek.com/boardgame/181279/fury-of-dracula-thirdfourth-edition,7.127,7.42,14791.0,2,5,120,180,3.28
347,Sea Salt & Paper,348,https://boardgamegeek.com/boardgame/367220/sea-salt-and-paper,7.126,7.49,11508.0,2,4,30,45,1.47
348,Love Letter,349,https://boardgamegeek.com/boardgame/129622/love-letter,7.125,7.23,68465.0,2,4,20,na,1.18
349,Cloudspire,350,https://boardgamegeek.com/boardgame/262211/cloudspire,7.124,8.18,3776.0,1,4,90,180,4.4
350,Acquire,351,https://boardgamegeek.com/boardgame/5/acquire,7.124,7.35,20753.0,2,6,90,na,2.49
351,Tikal,352,https://boardgamegeek.com/boardgame/54/tikal,7.123,7.33,20458.0,2,4,90,na,2.78
352,Summoner Wars: Master Set,353,https://boardgamegeek.com/boardgame/93260/summoner-wars-master-set,7.122,7.48,11035.0,2,4,30,60,2.52
353,Century: Spice Road,354,https://boardgamegeek.com/boardgame/209685/century-spice-road,7.121,7.3,25875.0,2,5,30,45,1.8
354,Destinies,355,https://boardgamegeek.com/boardgame/285192/destinies,7.12,7.72,8772.0,1,3,90,150,1.92
355,Bunny Kingdom,356,https://boardgamegeek.com/boardgame/184921/bunny-kingdom,7.119,7.42,13308.0,2,4,40,60,2.3
356,Bruges,357,https://boardgamegeek.com/boardgame/136888/bruges,7.118,7.43,11807.0,2,4,60,na,2.75
357,Awkward Guests: The Walton Case,358,https://boardgamegeek.com/boardgame/188866/awkward-guests-the-walton-case,7.118,7.57,8508.0,1,8,45,75,2.33
358,Heaven & Ale,359,https://boardgamegeek.com/boardgame/227789/heaven-and-ale,7.117,7.54,8686.0,2,4,60,90,3.18
359,Imperial 2030,360,https://boardgamegeek.com/boardgame/54138/imperial-2030,7.116,7.64,6938.0,2,6,120,180,3.51
360,Tiny Epic Galaxies,361,https://boardgamegeek.com/boardgame/163967/tiny-epic-galaxies,7.114,7.33,20916.0,1,5,30,45,2.15
361,The Witcher: Old World,362,https://boardgamegeek.com/boardgame/331106/the-witcher-old-world,7.112,7.98,6349.0,1,5,90,150,2.87
362,Runewars,363,https://boardgamegeek.com/boardgame/59294/runewars,7.112,7.61,8416.0,2,4,180,240,3.79
363,Alien Frontiers,364,https://boardgamegeek.com/boardgame/48726/alien-frontiers,7.111,7.35,15322.0,2,4,90,na,2.57
364,Exit: The Game – The Abandoned Cabin,365,https://boardgamegeek.com/boardgame/203420/exit-the-game-the-abandoned-cabin,7.108,7.42,11576.0,1,6,60,120,2.54
365,Summoner Wars (Second Edition),366,https://boardgamegeek.com/boardgame/332800/summoner-wars-second-edition,7.107,8.11,3891.0,2,na,40,60,2.57
366,Chinatown,367,https://boardgamegeek.com/boardgame/47/chinatown,7.107,7.43,11585.0,3,5,60,na,2.24
367,Nusfjord,368,https://boardgamegeek.com/boardgame/234277/nusfjord,7.106,7.64,6544.0,1,5,20,100,2.85
368,Small World,369,https://boardgamegeek.com/boardgame/40692/small-world,7.103,7.21,71951.0,2,5,40,80,2.35
369,Apiary,370,https://boardgamegeek.com/boardgame/400314/apiary,7.102,7.83,5240.0,1,5,60,90,2.97
370,Burgle Bros.,371,https://boardgamegeek.com/boardgame/172081/burgle-bros,7.102,7.43,11672.0,1,4,45,90,2.32
371,Project L,372,https://boardgamegeek.com/boardgame/260180/project-l,7.1,7.48,10207.0,1,4,20,40,1.56
372,Above and Below,373,https://boardgamegeek.com/boardgame/172818/above-and-below,7.099,7.36,16310.0,2,4,90,na,2.52
373,Arboretum,374,https://boardgamegeek.com/boardgame/140934/arboretum,7.099,7.29,21221.0,2,4,30,na,2.12
374,Flamecraft,375,https://boardgamegeek.com/boardgame/336986/flamecraft,7.099,7.42,15256.0,1,5,60,na,2.19
375,Wayfarers of the South Tigris,376,https://boardgamegeek.com/boardgame/350316/wayfarers-of-the-south-tigris,7.098,7.82,4984.0,1,4,60,90,3.81
376,Bonfire,377,https://boardgamegeek.com/boardgame/304420/bonfire,7.098,7.64,6713.0,1,4,70,100,3.63
377,Merchants & Marauders,378,https://boardgamegeek.com/boardgame/25292/merchants-and-marauders,7.097,7.39,14343.0,2,4,180,na,3.25
378,Dead of Winter: The Long Night,379,https://boardgamegeek.com/boardgame/193037/dead-of-winter-the-long-night,7.096,7.52,10047.0,2,5,60,120,3.35
379,Antiquity,380,https://boardgamegeek.com/boardgame/13122/antiquity,7.096,7.84,4520.0,2,4,120,180,4.32
380,Raiders of Scythia,381,https://boardgamegeek.com/boardgame/301880/raiders-of-scythia,7.096,7.74,5814.0,1,4,60,80,2.75
381,Innovation,382,https://boardgamegeek.com/boardgame/63888/innovation,7.095,7.3,18825.0,2,4,45,60,2.77
382,Neuroshima Hex! 3.0,383,https://boardgamegeek.com/boardgame/21241/neuroshima-hex-30,7.095,7.39,15198.0,1,4,30,na,2.61
383,Tekhenu: Obelisk of the Sun,384,https://boardgamegeek.com/boardgame/297030/tekhenu-obelisk-of-the-sun,7.092,7.7,5948.0,1,4,60,120,4.07
384,Mission: Red Planet (Second/Third Edition),385,https://boardgamegeek.com/boardgame/176920/mission-red-planet-secondthird-edition,7.091,7.4,11653.0,2,6,45,90,2.2
385,Sid Meier's Civilization: The Board Game,386,https://boardgamegeek.com/boardgame/77130/sid-meiers-civilization-the-board-game,7.091,7.38,16004.0,2,4,120,240,3.9
386,Bärenpark,387,https://boardgamegeek.com/boardgame/219513/barenpark,7.091,7.29,19356.0,2,4,30,45,1.66
387,Sidereal Confluence,388,https://boardgamegeek.com/boardgame/202426/sidereal-confluence,7.089,7.78,5222.0,4,9,120,180,3.56
388,Furnace,389,https://boardgamegeek.com/boardgame/318084/furnace,7.088,7.41,11252.0,2,4,30,60,2.32
389,Dungeon Lords,390,https://boardgamegeek.com/boardgame/45315/dungeon-lords,7.086,7.35,13999.0,2,4,90,na,3.57
390,Letters from Whitechapel,391,https://boardgamegeek.com/boardgame/59959/letters-from-whitechapel,7.086,7.34,16254.0,2,6,90,na,2.64
391,Dixit,392,https://boardgamegeek.com/boardgame/39856/dixit,7.085,7.2,65750.0,3,8,30,na,1.19
392,Gizmos,393,https://boardgamegeek.com/boardgame/246192/gizmos,7.085,7.38,13127.0,2,4,40,50,2.04
393,BattleLore: Second Edition,394,https://boardgamegeek.com/boardgame/146439/battlelore-second-edition,7.083,7.68,6423.0,2,na,45,90,2.72
394,Harry Potter: Hogwarts Battle,395,https://boardgamegeek.com/boardgame/199042/harry-potter-hogwarts-battle,7.078,7.36,19761.0,2,4,30,60,2.08
395,Takenoko,396,https://boardgamegeek.com/boardgame/70919/takenoko,7.076,7.21,45302.0,2,4,45,na,1.98
396,Ginkgopolis,397,https://boardgamegeek.com/boardgame/128271/ginkgopolis,7.075,7.49,8161.0,1,5,45,na,2.91
397,Mindbug: First Contact,398,https://boardgamegeek.com/boardgame/345584/mindbug-first-contact,7.075,7.68,6671.0,2,na,15,25,1.94
398,Marvel United: X-Men,399,https://boardgamegeek.com/boardgame/336382/marvel-united-x-men,7.074,8.05,3785.0,1,5,40,na,1.97
399,Mysterium,400,https://boardgamegeek.com/boardgame/181304/mysterium,7.073,7.21,44935.0,2,7,42,na,1.89
400,Ghost Stories,401,https://boardgamegeek.com/boardgame/37046/ghost-stories,7.071,7.27,21405.0,1,4,60,na,2.9
401,Lords of Hellas,402,https://boardgamegeek.com/boardgame/222509/lords-of-hellas,7.069,7.65,7391.0,1,4,60,90,3.33
402,The Resistance,403,https://boardgamegeek.com/boardgame/41114/the-resistance,7.067,7.21,41191.0,5,10,30,na,1.59
403,Agricola: All Creatures Big and Small,404,https://boardgamegeek.com/boardgame/119890/agricola-all-creatures-big-and-small,7.067,7.33,13852.0,2,na,30,na,2.35
404,Pax Renaissance: 2nd Edition,405,https://boardgamegeek.com/boardgame/308119/pax-renaissance-2nd-edition,7.066,8.49,2508.0,1,4,60,120,4.61
405,51st State: Master Set,406,https://boardgamegeek.com/boardgame/192458/51st-state-master-set,7.066,7.59,6997.0,1,4,60,90,2.9
406,San Juan,407,https://boardgamegeek.com/boardgame/8217/san-juan,7.065,7.23,23907.0,2,4,45,60,2.28
