,id,name,Link,Min_players,Max_players,Min_duration,Max_duration,Weight
66,2651,Power Grid,https://boardgamegeek.com/boardgame/2651,2,6,120,na,3.25
67,383179,Age of Innovation,https://boardgamegeek.com/boardgame/383179,1,5,40,200,4.26
68,244521,The Quacks of Quedlinburg,https://boardgamegeek.com/boardgame/244521,2,4,45,na,1.94
69,276025,Maracaibo,https://boardgamegeek.com/boardgame/276025,1,4,30,120,3.92
70,216132,Clans of Caledonia,https://boardgamegeek.com/boardgame/216132,1,4,30,120,3.46
71,338960,Slay the Spire: The Board Game,https://boardgamegeek.com/boardgame/338960,1,4,30,150,2.93
72,35677,Le Havre,https://boardgamegeek.com/boardgame/35677,1,5,30,150,3.71
73,266810,Paladins of the West Kingdom,https://boardgamegeek.com/boardgame/266810,1,4,90,120,3.72
74,125153,The Gallerist,https://boardgamegeek.com/boardgame/125153,1,4,60,150,4.22
75,164153,Star Wars: Imperial Assault,https://boardgamegeek.com/boardgame/164153,2,5,60,120,3.3
76,124742,Android: Netrunner,https://boardgamegeek.com/boardgame/124742,2,na,45,na,3.41
77,365717,Clank!: Catacombs,https://boardgamegeek.com/boardgame/365717,2,4,45,90,2.5
78,209010,Mechs vs. Minions,https://boardgamegeek.com/boardgame/209010,2,4,60,120,2.45
79,284083,The Crew: The Quest for Planet Nine,https://boardgamegeek.com/boardgame/284083,2,5,20,na,1.96
80,200680,Agricola (Revised Edition),https://boardgamegeek.com/boardgame/200680,1,4,30,120,3.45
81,55690,Kingdom Death: Monster,https://boardgamegeek.com/boardgame/55690,1,4,60,180,4.27
82,28143,Race for the Galaxy,https://boardgamegeek.com/boardgame/28143,2,4,30,60,2.99
83,230802,Azul,https://boardgamegeek.com/boardgame/230802,2,4,30,45,1.77
84,157354,Five Tribes: The Djinns of Naqala,https://boardgamegeek.com/boardgame/157354,2,4,40,80,2.84
85,201808,Clank!: A Deck-Building Adventure,https://boardgamegeek.com/boardgame/201808,2,4,30,60,2.23
86,72125,Eclipse: New Dawn for the Galaxy,https://boardgamegeek.com/boardgame/72125,2,6,60,180,3.7
87,159675,Fields of Arle,https://boardgamegeek.com/boardgame/159675,1,2,60,120,3.84
88,191189,Aeon's End,https://boardgamegeek.com/boardgame/191189,1,4,60,na,2.81
89,110327,Lords of Waterdeep,https://boardgamegeek.com/boardgame/110327,2,5,60,120,2.45
90,332772,Revive,https://boardgamegeek.com/boardgame/332772,1,4,90,120,3.44
91,93,El Grande,https://boardgamegeek.com/boardgame/93,2,5,60,120,2.95
92,322289,Darwin's Journey,https://boardgamegeek.com/boardgame/322289,1,4,60,120,3.91
93,371942,The White Castle,https://boardgamegeek.com/boardgame/371942,1,4,80,na,3.02
94,229853,Teotihuacan: City of Gods,https://boardgamegeek.com/boardgame/229853,1,4,90,120,3.77
95,414317,Harmonies,https://boardgamegeek.com/boardgame/414317,1,4,30,45,2.01
96,317985,Beyond the Sun,https://boardgamegeek.com/boardgame/317985,2,4,60,120,3.13
97,25613,Through the Ages: A Story of Civilization,https://boardgamegeek.com/boardgame/25613,2,4,120,na,4.18
98,291453,SCOUT,https://boardgamegeek.com/boardgame/291453,2,5,20,na,1.36
99,366161,Wingspan Asia,https://boardgamegeek.com/boardgame/366161,1,2,40,70,2.67
100,390092,Ticket to Ride Legacy: Legends of the West,https://boardgamegeek.com/boardgame/390092,2,5,20,90,2.56
101,256916,Concordia Venus,https://boardgamegeek.com/boardgame/256916,2,6,60,120,3.02
102,62219,Dominant Species,https://boardgamegeek.com/boardgame/62219,2,6,120,240,4.04
103,68448,7 Wonders,https://boardgamegeek.com/boardgame/68448,2,7,30,na,2.32
104,279537,The Search for Planet X,https://boardgamegeek.com/boardgame/279537,1,4,60,75,2.42
105,121921,Robinson Crusoe: Adventures on the Cursed Island,https://boardgamegeek.com/boardgame/121921,1,4,60,120,3.82
106,171623,The Voyages of Marco Polo,https://boardgamegeek.com/boardgame/171623,2,4,40,100,3.18
107,380607,Great Western Trail: New Zealand,https://boardgamegeek.com/boardgame/380607,1,4,75,150,3.99
108,225694,Decrypto,https://boardgamegeek.com/boardgame/225694,3,8,15,45,1.83
109,277659,Final Girl,https://boardgamegeek.com/boardgame/277659,1,na,20,60,2.75
110,155821,Inis,https://boardgamegeek.com/boardgame/155821,2,4,60,90,2.96
111,364073,Splendor Duel,https://boardgamegeek.com/boardgame/364073,2,na,30,na,2.01
112,240980,Blood on the Clocktower,https://boardgamegeek.com/boardgame/240980,6,21,30,120,3.06
113,37111,Battlestar Galactica: The Board Game,https://boardgamegeek.com/boardgame/37111,3,6,120,180,3.25
114,163068,Trickerion: Legends of Illusion,https://boardgamegeek.com/boardgame/163068,2,4,60,180,4.25
115,236457,Architects of the West Kingdom,https://boardgamegeek.com/boardgame/236457,1,5,60,80,2.76
116,264220,Tainted Grail: The Fall of Avalon,https://boardgamegeek.com/boardgame/264220,1,4,60,120,3.36
117,310873,Carnegie,https://boardgamegeek.com/boardgame/310873,1,4,90,120,3.81
118,217372,The Quest for El Dorado,https://boardgamegeek.com/boardgame/217372,2,4,30,60,1.94
119,122515,Keyflower,https://boardgamegeek.com/boardgame/122515,2,6,90,120,3.34
120,271055,Dwellings of Eldervale,https://boardgamegeek.com/boardgame/271055,1,5,60,150,3.24
121,170042,Raiders of the North Sea,https://boardgamegeek.com/boardgame/170042,2,4,60,80,2.57
122,42,Tigris & Euphrates,https://boardgamegeek.com/boardgame/42,2,4,60,120,3.5
123,40834,Dominion: Intrigue,https://boardgamegeek.com/boardgame/40834,2,6,30,na,2.41
124,337627,Voidfall,https://boardgamegeek.com/boardgame/337627,1,4,90,240,4.64
125,18602,Caylus,https://boardgamegeek.com/boardgame/18602,2,5,60,150,3.79
126,203993,Lorenzo il Magnifico,https://boardgamegeek.com/boardgame/203993,2,4,60,120,3.29
127,73439,Troyes,https://boardgamegeek.com/boardgame/73439,1,4,90,na,3.45
