,id,name,Link,Min_players,Max_players,Min_duration,Max_duration,Weight
10000,13729,Flandern 1302,https://boardgamegeek.com/boardgame/13729,2,4,60,na,2.33
10001,229742,Zoo Ball,https://boardgamegeek.com/boardgame/229742,2,4,15,30,1.0
10002,265226,Mint Tin Mini Skulduggery,https://boardgamegeek.com/boardgame/265226,1,4,10,25,1.0
10003,32405,Alles Tomate!,https://boardgamegeek.com/boardgame/32405,2,8,15,20,1.06
10004,226312,Button Men: Beat People Up,https://boardgamegeek.com/boardgame/226312,2,na,10,na,1.67
10005,151450,Bull Moose,https://boardgamegeek.com/boardgame/151450,3,5,90,na,2.2
10006,1694,Little Round Top: The South's Best Chance at Gettysburg,https://boardgamegeek.com/boardgame/1694,2,na,150,na,2.63
10007,245382,The Way of the Bear,https://boardgamegeek.com/boardgame/245382,2,4,25,35,1.4
10008,242312,Montélimar: Anvil of Fate,https://boardgamegeek.com/boardgame/242312,1,4,120,3000,3.86
10009,19903,The Battle of Monmouth,https://boardgamegeek.com/boardgame/19903,2,na,240,1200,3.87
10010,60245,Mummy's Treasure,https://boardgamegeek.com/boardgame/60245,2,4,10,na,1.12
10011,303621,Tiny Acrobats,https://boardgamegeek.com/boardgame/303621,2,4,20,na,1.0
10012,2541,Cosmic Cows,https://boardgamegeek.com/boardgame/2541,2,na,30,na,1.06
10013,159470,Jungle Rumble,https://boardgamegeek.com/boardgame/159470,2,4,30,na,2.45
10014,258140,Les Aventuriers du Rail Express,https://boardgamegeek.com/boardgame/258140,2,4,15,30,1.67
10015,339222,WolfWalkers: My Story,https://boardgamegeek.com/boardgame/339222,2,na,25,na,1.4
10016,164236,Witch Hunt,https://boardgamegeek.com/boardgame/164236,7,22,30,90,2.0
10017,40182,Telepathy,https://boardgamegeek.com/boardgame/40182,2,4,20,na,2.0
10018,39406,Talat,https://boardgamegeek.com/boardgame/39406,2,3,33,na,2.0
10019,265960,Magic: The Gathering – Game Night,https://boardgamegeek.com/boardgame/265960,2,5,30,na,3.0
10020,335864,Gussy Gorillas,https://boardgamegeek.com/boardgame/335864,3,10,20,na,1.0
10021,411617,Quoridor Pac-Man,https://boardgamegeek.com/boardgame/411617,2,5,15,na,2.0
10022,3053,Bonaparte in Italy,https://boardgamegeek.com/boardgame/3053,2,na,180,na,3.08
10023,19646,Cowabunga,https://boardgamegeek.com/boardgame/19646,2,5,30,na,1.27
